"Date","Price","Open","High","Low","Vol.","Change %"
"02/06/2023","59.50","59.60","59.65","58.95","2.55M","-0.50%"
"02/03/2023","59.80","59.60","59.80","59.60","6.50M","0.34%"
"02/02/2023","59.60","59.50","59.80","59.40","2.61M","0.17%"
"02/01/2023","59.50","57.35","59.60","57.35","3.48M","3.93%"
"01/31/2023","57.25","59.20","59.20","57.25","5.02M","-3.46%"
"01/30/2023","59.30","58.60","59.30","58.35","2.28M","0.85%"
"01/27/2023","58.80","58.55","58.95","58.55","2.52M","0.43%"
"01/26/2023","58.55","58.90","59.05","58.55","1.24M","-0.59%"
"01/25/2023","58.90","59.00","59.10","58.75","1.18M","0.00%"
"01/24/2023","58.90","58.70","59.35","58.60","1.90M","0.34%"
"01/23/2023","58.70","58.00","58.80","58.00","1.71M","1.56%"
"01/20/2023","57.80","59.45","59.45","57.80","3.23M","-2.78%"
"01/19/2023","59.45","59.40","59.70","59.10","1.56M","-0.59%"
"01/18/2023","59.80","59.20","59.95","58.05","3.43M","1.01%"
"01/17/2023","59.20","58.55","59.45","57.80","1.99M","1.11%"
"01/16/2023","58.55","58.95","59.60","58.45","4.04M","-0.76%"
"01/13/2023","59.00","57.45","59.00","56.90","4.71M","2.88%"
"01/12/2023","57.35","57.30","57.45","56.90","1.23M","0.09%"
"01/11/2023","57.30","57.00","57.40","56.60","2.14M","0.17%"
"01/10/2023","57.20","57.00","57.25","56.30","1.60M","-0.35%"
"01/09/2023","57.40","57.00","57.50","56.90","3.18M","0.88%"
"01/06/2023","56.90","56.00","57.00","56.00","3.06M","1.16%"
"01/05/2023","56.25","55.30","56.30","55.30","2.07M","2.83%"
"01/04/2023","54.70","55.60","56.95","54.70","1.64M","-1.08%"
"01/03/2023","55.30","54.10","55.85","54.10","955.41K","2.41%"
"12/29/2022","54.00","54.70","54.85","54.00","1.15M","-1.46%"
"12/28/2022","54.80","54.70","55.00","54.30","779.88K","0.37%"
"12/27/2022","54.60","54.80","55.35","54.50","171.40K","-0.64%"
"12/23/2022","54.95","56.30","56.30","54.95","816.68K","-2.40%"
"12/22/2022","56.30","55.80","56.40","55.50","2.11M","0.90%"
"12/21/2022","55.80","54.15","55.80","54.15","2.03M","2.39%"
"12/20/2022","54.50","54.05","54.50","53.95","751.89K","-0.73%"
"12/19/2022","54.90","55.45","55.45","53.80","1.80M","-1.17%"
"12/16/2022","55.55","53.90","55.55","53.75","3.25M","2.87%"
"12/15/2022","54.00","54.70","55.20","54.00","868.79K","-2.00%"
